test_name,total_runs,passed,failed,label
AutoMapper.Collection.MapCollectionWithEqualityTests.Should_Be_Fast_With_Large_Lists_MultiProperty_Mapping_Cant_Extract_Negative,100,100,0,stable
AutoMapper.Collection.MapCollectionWithEqualityTests.Should_Be_Fast_With_Large_Reversed_Lists,100,100,0,stable
AutoMapper.Collection.InheritanceWithCollectionTests+Include.TypeMap_Should_include_derivied_types,100,100,0,stable
AutoMapper.Collection.MapCollectionWithEqualityTests.Parent_Should_Be_Same_As_Root_Object,100,100,0,stable
AutoMapper.Collection.InheritanceWithCollectionTests+IncludeBase.Map_Should_ReturnOnlineOrderEf_When_ListIsOfTypeOrderEf,100,100,0,stable
AutoMapper.Collection.MapCollectionWithEqualityTests.Should_Work_With_Null_Destination,100,100,0,stable
AutoMapper.Collection.InheritanceWithCollectionTests+Include.Map_Should_ReturnOnlineOrderEf_When_ListIsOfTypeOrderEf,100,100,0,stable
AutoMapper.Collection.InheritanceWithCollectionTests+IncludeBase.TypeMap_Should_include_derivied_types,100,100,0,stable
AutoMapper.Collection.MapCollectionWithEqualityTests.Should_Be_Fast_With_Large_Lists_MultiProperty_Mapping_Cant_Extract,100,100,0,stable
AutoMapper.Collection.MapCollectionWithEqualityTests.Should_Be_Fast_With_Large_Lists_Cant_Extract_Negative,100,100,0,stable
AutoMapper.Collection.OptionsTests.Should_Retain_Options_Passed_In_Map,100,100,0,stable
AutoMapper.Collection.MapCollectionWithEqualityTests.Should_Be_Fast_With_Large_Lists_MultiProperty_Mapping,100,100,0,stable
AutoMapper.Collection.MapCollectionWithEqualityTests.Should_Be_Fast_With_Large_Lists_SubObject_switch_left_and_right_expression,100,100,0,stable
AutoMapper.Collection.MapCollectionWithEqualityTests.Should_Work_With_Comparing_String_Types,100,100,0,stable
AutoMapper.Collection.MapCollectionWithEqualityTests.Should_Work_With_Conditionals,100,100,0,stable
AutoMapper.Collection.MapCollectionWithEqualityTests.Should_Be_Fast_With_Large_Lists,100,100,0,stable
AutoMapper.Collection.InheritanceWithCollectionTests+IncludeBase.TypeMap_Should_include_base_types,100,100,0,stable
AutoMapper.Collection.InheritanceWithCollectionTests+IncludeBase.Map_FromEfToDomain_And_AddAnOnlineOrderInTheDomainObject_And_ThenMapBackToEf_Should_UseTheSameReferenceInTheEfCollection,100,100,0,stable
AutoMapper.Collection.InheritanceWithCollectionTests+Include.TypeMap_Should_include_base_types,100,100,0,stable
AutoMapper.Collection.MapCollectionWithEqualityTests.Should_Be_Fast_With_Large_Lists_SubObject,100,100,0,stable
AutoMapper.Collection.MapCollectionWithEqualityTests.Should_Be_Instanced_Based,100,100,0,stable
AutoMapper.Collection.MapCollectionWithEqualityTests.Should_Update_Existing_Item,100,100,0,stable
AutoMapper.Collection.MapCollectionWithEqualityTests.Should_Keep_Existing_List,100,100,0,stable
AutoMapper.Collection.NullableIdTests.Should_Work_With_Null_Id,100,100,0,stable
AutoMapper.Collection.ValueTypeTests.MapValueTypes,100,100,0,stable
AutoMapper.Collection.NullableIdTests.Should_Work_With_Multiple_Null_Id,100,100,0,stable
AutoMapper.Collection.InheritanceWithCollectionTests+Include.Map_FromEfToDomain_And_AddAnOnlineOrderInTheDomainObject_And_ThenMapBackToEf_Should_UseTheSameReferenceInTheEfCollection,100,100,0,stable
