test_name,total_runs,passed,failed,label
Serilog.Tests.Formatting.Display.MessageTemplateTextFormatterTests.RendersTimestampFormatsOfDifferentLengths(length: 100),100,100,0,stable
Serilog.Tests.Settings.SettingValueConversionsTests.StringValuesConvertToDefaultInstancesIfTargetIsAbstractClass,100,100,0,stable
"Serilog.Tests.Core.ChildLoggerTests.WriteToLoggerMinimumLevelOverrideInheritanceScenarios(defaultRootLevel: Verbose, rootOverrideSource: null, rootOverrideLevelIncrement: 0, childOverrideSource: null, childOverrideLevelIncrement: 0, eventShouldGetToChild: True)",100,100,0,stable
Serilog.Tests.Core.LoggerTests.AggregatedAsyncSinksAreDisposedWhenLoggerIsDisposedAsync,100,100,0,stable
Serilog.Tests.Configuration.LoggerConfigurationTests.ExceptionsThrownBySinksAreNotPropagatedEvenWhenAuditingIsPresent,100,100,0,stable
Serilog.Tests.MethodOverloadConventionTests.ValidateBindMessageTemplateMethods(loggerType: typeof(Serilog.ILogger)),100,100,0,stable
"Serilog.Tests.Core.ChildLoggerTests.WriteToLoggerMinimumLevelOverrideInheritanceScenarios(defaultRootLevel: Verbose, rootOverrideSource: ""xx"", rootOverrideLevelIncrement: 1, childOverrideSource: null, childOverrideLevelIncrement: 0, eventShouldGetToChild: True)",100,100,0,stable
"Serilog.Tests.Core.ChildLoggerKnownLimitationsTests.WriteToLoggerMinimumLevelOverrideInheritanceNotSupportedScenarios(rootOverrideSource: ""Root"", rootOverrideLevelIncrement: 0, childOverrideSource: ""Root.N1.N2"", childOverrideLevelIncrement: 1)",100,100,0,stable
Serilog.Tests.MethodOverloadConventionTests.ValidateForContextMethods(loggerType: typeof(Serilog.Core.Pipeline.SilentLogger)),100,100,0,stable
"Serilog.Tests.Formatting.Display.MessageTemplateTextFormatterTests.FixedLengthLevelIsSupported(level: Fatal, width: 6, expected: ""Fatal"")",100,100,0,stable
