test_name,total_runs,passed,failed,label
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+PropertiesFileConfigurationTest.GetDockerHostCustomConfiguration(configuration: ""docker.host=tcp://127.0.0.1:2375/"", expected: ""tcp://127.0.0.1:2375/"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+EnvironmentConfigurationTest.GetDockerContextCustomConfiguration(propertyName: ""DOCKER_CONTEXT"", propertyValue: ""default"", expected: ""default"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.DockerRegistryAuthenticationProviderTest.GetHostnameFromDockerImage(dockerImageName: ""myregistry.azurecr.io/baz/foo/bar:latest"", hostname: ""myregistry.azurecr.io"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.DockerEndpointAuthenticationProviderTest.AuthProviderShouldBeApplicable(authProvider: MTlsEndpointAuthenticationProvider { LastException = null }, isApplicable: True)",100,100,0,stable
DotNet.Testcontainers.Tests.Unit.ResourcePropertiesTest.QueryNotExistingDockerNetworkById,100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+PropertiesFileConfigurationTest.GetDockerAuthConfigCustomConfiguration(configuration: ""docker.auth.config="", expected: null)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+EnvironmentConfigurationTest.GetRyukDisabledCustomConfiguration(propertyName: ""TESTCONTAINERS_RYUK_DISABLED"", propertyValue: """", expected: False)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+PropertiesFileConfigurationTest.GetDockerTlsVerifyCustomConfiguration(configuration: ""docker.tls.verify=1"", expected: True)",100,100,0,stable
DotNet.Testcontainers.Tests.Unit.TestcontainerNetworkBuilderTest.CreateNetworkAssignsOptions,100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+EnvironmentConfigurationTest.GetHubImageNamePrefixCustomConfiguration(propertyName: ""TESTCONTAINERS_HUB_IMAGE_NAME_PREFIX"", propertyValue: """", expected: null)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.TestcontainersImageTest.WhenImageNameGetsAssigned(serializable: DockerImageFixtureSerializable { Image = DockerImage { Digest = null, FullName = ""bar/baz:latest"", Platform = null, Registry = null, Repository = ""bar/baz"", ··· } }, image: ""bar/baz"", fullName: ""bar/baz:latest"")",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.BuildConfigurationTest.AppendEnumerableCompose(oldValue: [""old""], newValue: [], expected: [""old""])",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.IgnoreFileTest.AcceptOrDenyNonRecursivePatterns(ignoreFile: IgnoreFile { }, path: ""temp"", expected: False)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.BuildConfigurationTest.AppendEnumerableCompose(oldValue: [], newValue: [], expected: [])",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.CustomConfigurationTest+EnvironmentConfigurationTest.GetDockerTlsVerifyCustomConfiguration(propertyName: ""DOCKER_TLS_VERIFY"", propertyValue: ""TRUE"", expected: True)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.DockerRegistryAuthenticationProviderTest+CredsHelperProviderTest.ShouldGetNull(jsonDocument: ""{\""credHelpers\"":{\""https://index.docker.io/v1/\"":""···, isApplicable: True)",100,100,0,stable
DotNet.Testcontainers.Tests.Unit.ResourcePropertiesTest.QueryVolumeInformationOfNotCreatedVolume,100,100,0,stable
DotNet.Testcontainers.Tests.Unit.ImageFromDockerfileTest.BuildTargetBuildsUpToExpectedTarget,100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.DockerRegistryAuthenticationProviderTest+Base64ProviderTest.ResolvePartialDockerRegistry(jsonDocument: ""{\""auths\"":{\""docker.io\"":{}}}"", hostname: ""index.docker.io"", expectedResult: False)",100,100,0,stable
DotNet.Testcontainers.Tests.Unit.DockerConfigTests+DockerContextConfigurationTests.ReturnsConfiguredEndpointWhenDockerContextIsCustomFromConfigFile,100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.DockerRegistryAuthenticationProviderTest+Base64ProviderTest.ShouldGetNull(jsonDocument: ""{\""auths\"":{\""https://index.docker.io/v1/\"":{\""aut""···, isApplicable: True, logMessage: ""The \""auth\"" property value kind for https://index""···)",100,100,0,stable
DotNet.Testcontainers.Tests.Unit.GuardTest+NullPreconditions+ThrowArgumentException.IfNull,100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.DockerRegistryAuthenticationProviderTest+Base64ProviderTest.ResolvePartialDockerRegistry(jsonDocument: ""{\""auths\"":{\""https://ghcr.io\"":{}}}"", hostname: ""ghcr.io"", expectedResult: True)",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.BuildConfigurationTest.CombineReadOnlyLists(oldValue: null, newValue: null, expected: [])",100,100,0,stable
"DotNet.Testcontainers.Tests.Unit.IgnoreFileTest.AcceptOrDenyNonRecursivePatterns(ignoreFile: IgnoreFile { }, path: ""bin/Debug"", expected: False)",100,100,0,stable
